0                       0.63475  0.2323    0     4.3351
M3 V124                 0.75243  0.2323  327     5.9504
M5 V87                  0.73921  0.2332  327     6.0107
FW Lup                  0.48417  0.2379  327     5.7156
M68 V30                 0.73364  0.2393  327     5.3584
Rup106 V13              0.65315  0.2394  327     4.9328
Rup106 V18              0.63547  0.2421  327     5.4264
M3 V62                  0.65241  0.2492  327     5.6235
Rup106 V16              0.62851  0.2547  327     5.2816
M5 V75                  0.68547  0.2597  327     5.6388
CN Lyr                  0.41138  0.2603  327     5.5319

1                       0.63475  0.2200    0     9.8426
M3 V124                 0.75243  0.2200  327     5.9504
M5 V87                  0.73921  0.2210  327     6.0107
FW Lup                  0.48417  0.2254  327     5.7156
Rup106 V13              0.65315  0.2257  327     4.9328
M68 V30                 0.73364  0.2267  327     5.3584
Rup106 V18              0.63547  0.2304  327     5.4264
M3 V62                  0.65241  0.2380  327     5.6235
Rup106 V16              0.62851  0.2417  327     5.2816
CN Lyr                  0.41138  0.2449  327     5.5319
M5 V75                  0.68547  0.2467  327     5.6388

